import time: self [us] | cumulative | imported package
import time:      1839 |       2425 |                         sqlalchemy.pool.base
import time:      1110 |       3535 |                       sqlalchemy.pool.events
import time:       531 |        531 |                         sqlalchemy.util.queue
import time:       620 |       1151 |                       sqlalchemy.pool.impl
import time:       671 |       5356 |                     sqlalchemy.pool
import time:       961 |        961 |                           sqlalchemy.sql.roles
import time:       577 |        577 |                           sqlalchemy.inspection
import time:      1609 |       3146 |                         sqlalchemy.sql._typing
import time:      1108 |       1108 |                           sqlalchemy.sql.visitors
import time:      1144 |       1144 |                           sqlalchemy.sql.cache_key
import time:      1086 |       1086 |                             sqlalchemy.sql.operators
import time:       738 |       1823 |                           sqlalchemy.sql.traversals
import time:      2391 |       6465 |                         sqlalchemy.sql.base
import time:      1687 |       1687 |                           sqlalchemy.sql.coercions
import time:       720 |        720 |                                 sqlalchemy.sql.annotation
import time:      1393 |       1393 |                                     sqlalchemy.sql.type_api
import time:      4592 |       5985 |                                   sqlalchemy.sql.elements
import time:       477 |        477 |                                   sqlalchemy.util.topological
import time:      1971 |       8433 |                                 sqlalchemy.sql.ddl
import time:       557 |        557 |                                         _compat_pickle
import time:       115 |        115 |                                         _pickle
import time:      1108 |       1778 |                                       pickle
import time:       361 |        361 |                                         sqlalchemy.engine._py_processors
import time:       358 |        718 |                                       sqlalchemy.engine.processors
import time:      2625 |       5121 |                                     sqlalchemy.sql.sqltypes
import time:      6569 |      11689 |                                   sqlalchemy.sql.selectable
import time:      3759 |      15448 |                                 sqlalchemy.sql.schema
import time:       809 |      25408 |                               sqlalchemy.sql.util
import time:      1792 |      27200 |                             sqlalchemy.sql.dml
import time:      1045 |      28244 |                           sqlalchemy.sql.crud
import time:      3439 |       3439 |                           sqlalchemy.sql.functions
import time:      4486 |      37855 |                         sqlalchemy.sql.compiler
import time:       317 |        317 |                           sqlalchemy.sql._dml_constructors
import time:       475 |        475 |                           sqlalchemy.sql._elements_constructors
import time:       471 |        471 |                           sqlalchemy.sql._selectable_constructors
import time:       935 |        935 |                           sqlalchemy.sql.lambdas
import time:       648 |       2844 |                         sqlalchemy.sql.expression
import time:       571 |        571 |                         sqlalchemy.sql.default_comparator
import time:       750 |        750 |                           sqlalchemy.sql.events
import time:       569 |       1318 |                         sqlalchemy.sql.naming
import time:      7255 |      59451 |                       sqlalchemy.sql
import time:        21 |      59471 |                     sqlalchemy.sql.compiler
import time:      2182 |      70354 |                   sqlalchemy.engine.interfaces
import time:       514 |        514 |                   sqlalchemy.engine.util
import time:      1014 |      71881 |                 sqlalchemy.engine.base
import time:      1610 |      73490 |               sqlalchemy.engine.events
import time:       413 |        413 |                   sqlalchemy.dialects
import time:      1091 |       1504 |                 sqlalchemy.engine.url
import time:       385 |        385 |                 sqlalchemy.engine.mock
import time:       826 |       2714 |               sqlalchemy.engine.create
import time:       863 |        863 |                   sqlalchemy.engine.row
import time:      1742 |       2605 |                 sqlalchemy.engine.result
import time:      1055 |       3659 |               sqlalchemy.engine.cursor
import time:      1858 |       1858 |               sqlalchemy.engine.reflection
import time:       452 |      82171 |             sqlalchemy.engine
import time:       378 |        378 |             sqlalchemy.schema
import time:       317 |        317 |             sqlalchemy.types
import time:       354 |        354 |               sqlalchemy.engine.characteristics
import time:      1186 |       1539 |             sqlalchemy.engine.default
import time:       876 |     190761 |           sqlalchemy
import time:       339 |        339 |                       sqlalchemy.sql._orm_types
import time:       942 |       1280 |                     sqlalchemy.orm._typing
import time:      1306 |       2585 |                   sqlalchemy.orm.base
import time:       705 |        705 |                   sqlalchemy.orm.mapped_collection
import time:      1119 |       4408 |                 sqlalchemy.orm.collections
import time:       823 |        823 |                   sqlalchemy.orm.path_registry
import time:      1453 |       2275 |                 sqlalchemy.orm.interfaces
import time:      1965 |       8647 |               sqlalchemy.orm.attributes
import time:      1456 |      10103 |             sqlalchemy.orm.util
import time:       624 |      10727 |           sqlalchemy.orm.exc
import time:       895 |        895 |               sqlalchemy.orm.state
import time:       968 |       1862 |             sqlalchemy.orm.instrumentation
import time:       405 |        405 |                   sqlalchemy.future.engine
import time:       385 |        790 |                 sqlalchemy.future
import time:      1369 |       2159 |               sqlalchemy.orm.context
import time:      1338 |       1338 |                   sqlalchemy.orm.strategy_options
import time:      1211 |       1211 |                   sqlalchemy.orm.descriptor_props
import time:      2581 |       2581 |                   sqlalchemy.orm.relationships
import time:       834 |       5963 |                 sqlalchemy.orm.properties
import time:      4516 |       4516 |                 sqlalchemy.orm.query
import time:       693 |        693 |                 sqlalchemy.orm.unitofwork
import time:       480 |        480 |                     sqlalchemy.orm.evaluator
import time:       354 |        354 |                       sqlalchemy.orm.sync
import time:       681 |       1035 |                     sqlalchemy.orm.persistence
import time:       822 |       2336 |                   sqlalchemy.orm.bulk_persistence
import time:       438 |        438 |                   sqlalchemy.orm.identity
import time:       518 |        518 |                   sqlalchemy.orm.state_changes
import time:      2207 |       5498 |                 sqlalchemy.orm.session
import time:      1299 |      17968 |               sqlalchemy.orm.strategies
import time:       819 |      20944 |             sqlalchemy.orm.loading
import time:      1945 |      24751 |           sqlalchemy.orm.mapper
import time:       963 |        963 |           sqlalchemy.orm._orm_constructors
import time:      1007 |       1007 |             sqlalchemy.orm.clsregistry
import time:      1487 |       1487 |             sqlalchemy.orm.decl_base
